# Generated by scripts/snapshot-opening-popularity.mjs
# source=https://chess-analysis.org/api/explore/lichess
# snapshot=2026-08-06T18:32:36.169Z
# variant=standard; speeds=blitz,rapid,classical; ratings=1200,1400,1600,1800,2000,2200,2500
# measuredParentDepth=4; deeper lines use documented 0.82-per-ply decay
uci	globalGames	globalShare
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 d7d5 a2a3	11259988	0.28661488
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 d7d5 a2a3 b4c3 c2c3 b8c6	6208397	0.15803027
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 d7d5 a2a3 b4c3 c2c3 c7c5	6208397	0.15803027
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 d7d5 a2a3 b4c3 c2c3 f6e4	6208397	0.15803027
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 d7d5 a2a3 b4c3 c2c3 f6e4 c3c2	5090886	0.12958483
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 d7d5 a2a3 b4c3 c2c3 f6e4 c3c2 b8c6 e2e3 e6e5	2806952	0.07144894
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 d7d5 a2a3 b4c3 c2c3 f6e4 c3c2 c7c5	4174526	0.10625955
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 d7d5 c4d5 d8d5 g1f3 d5f5 c2d1 e6e5	4174526	0.10625955
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 d7d5 c4d5 e6d5	9233191	0.23502422
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 e8g8 a2a3 b4c3 c2c3 b7b5	6208397	0.15803027
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 e8g8 a2a3 b4c3 c2c3 b7b6	6208397	0.15803027
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1c2 e8g8 e2e3 d7d5 g1f3 c7c5	6208397	0.15803027
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1d3	16745967	0.42625652
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3	16745967	0.42625652
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 b7b6	13731693	0.34953035
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 b7b6 f1d3 c8b7 g1f3	7571216	0.19271985
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 b7b6 f1d3 c8b7 g1f3 e8g8	6208397	0.15803027
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 b7b6 f1d3 c8b7 g1f3 e8g8 e1g1	5090886	0.12958483
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 b7b6 f1d3 c8b7 g1f3 e8g8 e1g1 c7c5	4174526	0.10625955
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 b7b6 f1d3 c8b7 g1f3 e8g8 e1g1 c7c5 c3a4 c5d4 a2a3 b4e7	1887394	0.04804225
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 b7b6 f1d3 c8b7 g1f3 e8g8 e1g1 d7d5	4174526	0.10625955
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 b7b6 f1d3 c8b7 g1f3 f6e4	6208397	0.15803027
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 b7b6 g1e2	11259988	0.28661488
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 b7b6 g1e2 c7c5 a2a3 b4a5	6208397	0.15803027
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 b7b6 g1e2 c8a6	9233191	0.23502422
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 b7b6 g1e2 f6e4	9233191	0.23502422
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 b8c6	13731693	0.34953035
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 c7c5	13731693	0.34953035
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 c7c5 f1d3 b8c6 a2a3 b4c3 b2c3 e8g8	4174526	0.10625955
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 c7c5 f1d3 b8c6 a2a3 b4c3 b2c3 e8g8 g1e2 b7b6 e3e4 f6e8	1887394	0.04804225
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 c7c5 f1d3 b8c6 g1f3 b4c3 b2c3 d7d6	4174526	0.10625955
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 c7c5 f1d3 b8c6 g1f3 b4c3 b2c3 d7d6 e1g1 e8g8	2806952	0.07144894
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 c7c5 g1e2	11259988	0.28661488
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 c7c5 g1e2 c5d4 e3d4 e8g8 a2a3	5090886	0.12958483
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 c7c5 g1e2 c5d4 e3d4 e8g8 c4c5	5090886	0.12958483
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8	13731693	0.34953035
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 a2a3 b4c3 b2c3	7571216	0.19271985
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3	11259988	0.28661488
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 c7c5 g1f3 b7b6 e1g1 c8b7 c3a4 d8e7	2806952	0.07144894
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 d7d5	9233191	0.23502422
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 d7d5 a2a3 b4c3 b2c3	5090886	0.12958483
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 d7d5 a2a3 b4c3 b2c3 d5c4 d3c4 c7c5 g1f3 b8c6 e1g1 d8c7 d1c2	1040649	0.02648897
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 d7d5 g1f3 b7b6	6208397	0.15803027
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 d7d5 g1f3 b8c6 e1g1	5090886	0.12958483
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 d7d5 g1f3 b8c6 e1g1 d5c4	4174526	0.10625955
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 d7d5 g1f3 c7c5	6208397	0.15803027
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 d7d5 g1f3 c7c5 e1g1 b7b6	4174526	0.10625955
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 d7d5 g1f3 c7c5 e1g1 b8c6	4174526	0.10625955
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 d7d5 g1f3 c7c5 e1g1 b8c6 a2a3 b4c3 b2c3	2301700	0.05858811
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 d7d5 g1f3 c7c5 e1g1 b8c6 a2a3 b4c3 b2c3 d5c4 d3c4	1547663	0.03939465
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 d7d5 g1f3 c7c5 e1g1 b8c6 a2a3 d5c4 d3c4 c5d4	1887394	0.04804225
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 d7d5 g1f3 c7c5 e1g1 b8d7	4174526	0.10625955
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 d7d5 g1f3 c7c5 e1g1 d5c4 d3c4	3423112	0.08713285
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 d7d5 g1f3 c7c5 e1g1 d5c4 d3c4 b8d7	2806952	0.07144894
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 d7d5 g1f3 c7c5 e1g1 d5c4 d3c4 d8e7	2806952	0.07144894
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 g1e2	11259988	0.28661488
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 g1e2 d7d5 a2a3 b4d6	6208397	0.15803027
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 g1f3	11259988	0.28661488
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 g1f3 d7d5	9233191	0.23502422
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 g1f3 d7d5 a2a3	7571216	0.19271985
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 f6e4 d1c2 f7f5 g1f3 b7b6 f1d3 c8b7	4174526	0.10625955
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e4	16745967	0.42625652
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 f2f3	16745967	0.42625652
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 f2f3 d7d5 a2a3 b4c3 b2c3 c7c5 c4d5	5090886	0.12958483
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 f2f3 d7d5 a2a3 b4c3 b2c3 c7c5 c4d5 f6d5 d4c5	3423112	0.08713285
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 f2f3 d7d5 a2a3 b4c3 b2c3 c7c5 c4d5 f6d5 d4c5 f7f5	2806952	0.07144894
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 f2f3 d7d5 a2a3 b4c3 b2c3 c7c5 e2e3 e8g8 c4d5 f6d5	2806952	0.07144894
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 g1f3	16745967	0.42625652
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 g1f3 b4c3 b2c3 b7b6 e2e3 c8b7 f1d3 e8g8 e1g1	3423112	0.08713285
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 g1f3 b7b6 e2e3 f6e4 d1c2	7571216	0.19271985
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 g1f3 b7b6 e2e3 f6e4 d1c2 c8b7 f1d3 b4c3 b2c3 f7f5 e1g1	2301700	0.05858811
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 g1f3 c7c5 d4d5	11259988	0.28661488
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 g1f3 c7c5 d4d5 f6e4	9233191	0.23502422
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 g1f3 c7c5 g2g3 c5d4 f3d4 e8g8 f1g2 d7d5 c4d5 f6d5	2806952	0.07144894
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 g1f3 c7c5 g2g3 e8g8 f1g2	7571216	0.19271985
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 g2g3	16745967	0.42625652
d2d4 g8f6 c2c4 e7e6 c1g5	1120320	0.02851694
d2d4 g8f6 c2c4 e7e6 d1b3	0	0.00000000
d2d4 g8f6 c2c4 e7e6 g1f3	8118935	0.20666164
d2d4 g8f6 c2c4 e7e6 g1f3 a7a6	6657527	0.16946255
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6	6657527	0.16946255
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 a2a3	5459172	0.13895929
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 a2a3 c8a6 d1c2 a6b7	3010013	0.07661771
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 a2a3 c8b7 b1c3	3670747	0.09343622
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 a2a3 c8b7 b1c3 d7d5	3010013	0.07661771
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 a2a3 c8b7 b1c3 d7d5 c4d5 e6d5	2023933	0.05151776
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 a2a3 c8b7 b1c3 d7d5 c4d5 f6d5	2023933	0.05151776
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 a2a3 c8b7 b1c3 d7d5 c4d5 f6d5 c1d2	1659625	0.04224456
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 a2a3 c8b7 b1c3 d7d5 c4d5 f6d5 d1a4	1659625	0.04224456
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 a2a3 c8b7 b1c3 d7d5 c4d5 f6d5 d1c2	1659625	0.04224456
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 a2a3 c8b7 b1c3 d7d5 c4d5 f6d5 e2e3	1659625	0.04224456
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 a2a3 c8b7 b1c3 f6e4	3010013	0.07661771
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 a2a3 c8b7 b1c3 f8e7	3010013	0.07661771
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 a2a3 c8b7 b1c3 g7g6	3010013	0.07661771
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 b1c3	5459172	0.13895929
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 b1c3 c8b7 a2a3 d7d5 c4d5 f6d5 e2e4	1659625	0.04224456
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 b1c3 c8b7 c1g5 h7h6 g5h4 g7g5 h4g3 f6h5	1360892	0.03464053
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 b1c3 d7d5 c4d5 e6d5 c1g5 f8e7 e2e3 e8g8 f1d3 c8b7 f3e5	750352	0.01909967
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 b1c3 f8b4 c1g5 h7h6 g5h4 c8b7	2023933	0.05151776
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 c1f4	5459172	0.13895929
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 e2e3	5459172	0.13895929
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 e2e3 c8b7	4476521	0.11394662
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 e2e3 c8b7 f1d3	3670747	0.09343622
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 e2e3 c8b7 f1d3 c7c5	3010013	0.07661771
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 e2e3 c8b7 f1d3 c7c5 b1c3 c5d4 e3d4 f8e7 e1g1 d7d5 c4d5 f6d5	615289	0.01566174
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 e2e3 c8b7 f1d3 c7c5 e1g1 f8e7 b2b3 e8g8 c1b2 c5d4 f3d4	750352	0.01909967
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 e2e3 c8b7 f1d3 d7d5	3010013	0.07661771
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3	5459172	0.13895929
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8a6	4476521	0.11394662
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8a6 b2b3	3670747	0.09343622
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8a6 b2b3 f8b4	3010013	0.07661771
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8a6 b2b3 f8b4 c1d2 b4e7	2023933	0.05151776
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8a6 b2b3 f8b4 c1d2 d8e7	2023933	0.05151776
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8a6 d1a4	3670747	0.09343622
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8a6 d1b3	3670747	0.09343622
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7	4476521	0.11394662
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 c7c5	3010013	0.07661771
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 c7c5 d4d5 e6d5 f3g5	1659625	0.04224456
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 c7c5 d4d5 e6d5 f3h4	1659625	0.04224456
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8b4	3010013	0.07661771
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8b4 c1d2 b4d2 d1d2 e8g8 b1c3 f6e4 d2c2 e4c3 f3g5	504537	0.01284263
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8b4 c1d2 b4e7	2023933	0.05151776
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8e7	3010013	0.07661771
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8e7 b1c3	2468210	0.06282651
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8e7 b1c3 f6e4 c1d2	1659625	0.04224456
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8e7 e1g1	2468210	0.06282651
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8e7 e1g1 e8g8 b1c3	1659625	0.04224456
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8e7 e1g1 e8g8 b1c3 b8a6	1360892	0.03464053
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8e7 e1g1 e8g8 b1c3 d7d5	1360892	0.03464053
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8e7 e1g1 e8g8 b1c3 f6e4 d1c2 e4c3 c2c3	750352	0.01909967
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8e7 e1g1 e8g8 b2b3	1659625	0.04224456
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8e7 e1g1 e8g8 d4d5 e6d5 f3d4	1115932	0.02840524
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8e7 e1g1 e8g8 d4d5 e6d5 f3h4	1115932	0.02840524
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8e7 e1g1 e8g8 f1e1	1659625	0.04224456
d2d4 g8f6 c2c4 e7e6 g1f3 c7c5 d4d5 b7b5	4476521	0.11394662
d2d4 g8f6 c2c4 e7e6 g1f3 c7c5 d4d5 b7b5 c1g5	3670747	0.09343622
d2d4 g8f6 c2c4 e7e6 g1f3 c7c5 d4d5 b7b5 c1g5 e6d5 c4d5 h7h6	2023933	0.05151776
d2d4 g8f6 c2c4 e7e6 g1f3 c7c5 d4d5 b7b5 d5e6 f7e6 c4b5 d7d5	2023933	0.05151776
d2d4 g8f6 c2c4 e7e6 g1f3 c7c5 d4d5 e6d5 c4d5 d7d6 b1c3 g7g6	2023933	0.05151776
d2d4 g8f6 c2c4 e7e6 g1f3 c7c5 d4d5 e6d5 c4d5 d7d6 b1c3 g7g6 c1g5	1659625	0.04224456
d2d4 g8f6 c2c4 e7e6 g1f3 c7c5 d4d5 e6d5 c4d5 d7d6 b1c3 g7g6 e2e4	1659625	0.04224456
d2d4 g8f6 c2c4 e7e6 g1f3 c7c5 d4d5 e6d5 c4d5 d7d6 b1c3 g7g6 e2e4 f8g7 c1g5	1115932	0.02840524
d2d4 g8f6 c2c4 e7e6 g1f3 c7c5 d4d5 e6d5 c4d5 d7d6 b1c3 g7g6 e2e4 f8g7 f1e2	1115932	0.02840524
d2d4 g8f6 c2c4 e7e6 g1f3 c7c5 d4d5 e6d5 c4d5 d7d6 b1c3 g7g6 e2e4 f8g7 f1e2 e8g8 e1g1 a7a6 a2a4 c8g4	413720	0.01053094
d2d4 g8f6 c2c4 e7e6 g1f3 c7c5 d4d5 e6d5 c4d5 d7d6 b1c3 g7g6 e2e4 f8g7 f1e2 e8g8 e1g1 f8e8 f3d2 b8a6	413720	0.01053094
d2d4 g8f6 c2c4 e7e6 g1f3 c7c5 d4d5 e6d5 c4d5 d7d6 b1c3 g7g6 e2e4 f8g7 h2h3	1115932	0.02840524
d2d4 g8f6 c2c4 e7e6 g1f3 c7c5 d4d5 e6d5 c4d5 d7d6 b1c3 g7g6 f3d2	1659625	0.04224456
d2d4 g8f6 c2c4 e7e6 g1f3 c7c5 d4d5 e6d5 c4d5 d7d6 b1c3 g7g6 g2g3	1659625	0.04224456
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3	5459172	0.13895929
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 b8d7	4476521	0.11394662
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 b8d7 c1g5 h7h6 g5h4 d5c4	2023933	0.05151776
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 b8d7 c4d5 e6d5 c1f4	2468210	0.06282651
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 c7c5	4476521	0.11394662
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 c7c5 c4d5	3670747	0.09343622
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 c7c5 c4d5 c5d4 d1d4 e6d5 e2e4 d5e4 d4d8	1115932	0.02840524
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 c7c5 c4d5 f6d5 e2e3	2468210	0.06282651
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 c7c5 c4d5 f6d5 e2e3 b8c6 f1d3	1659625	0.04224456
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 c7c5 c4d5 f6d5 e2e4	2468210	0.06282651
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 c7c5 c4d5 f6d5 e2e4 d5c3 b2c3	1659625	0.04224456
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 c7c6 c1g5 d5c4 e2e4 b7b5 e4e5 h7h6 g5h4 g7g5 f3g5 f6d5	615289	0.01566174
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 c7c6 c1g5 d5c4 e2e4 b7b5 e4e5 h7h6 g5h4 g7g5 f3g5 h6g5 h4g5 b8d7 d1f3	339251	0.00863539
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 d5c4	4476521	0.11394662
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 d5c4 e2e3	3670747	0.09343622
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8b4	4476521	0.11394662
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8b4 c1g5 b8d7 e2e3 c7c5	2023933	0.05151776
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8b4 c1g5 d5c4	3010013	0.07661771
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8b4 d1a4	3670747	0.09343622
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8e7 c1f4	3670747	0.09343622
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8e7 c1f4 e8g8 e2e3 b8d7	2023933	0.05151776
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8e7 c1f4 e8g8 e2e3 c7c5 d4c5 e7c5	1360892	0.03464053
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8e7 c1f4 e8g8 e2e3 c7c5 d4c5 e7c5 d1c2 b8c6 a1d1 d8a5 a2a3	504537	0.01284263
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8e7 c1f4 e8g8 e2e3 c7c5 d4c5 e7c5 d1c2 b8c6 a2a3 d8a5 e1c1	504537	0.01284263
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8e7 c1g5 e8g8 d1c2	2468210	0.06282651
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8e7 c1g5 e8g8 e2e3	2468210	0.06282651
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8e7 c1g5 e8g8 e2e3 b8d7	2023933	0.05151776
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8e7 c1g5 e8g8 e2e3 b8d7 a1c1	1659625	0.04224456
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8e7 c1g5 e8g8 e2e3 b8d7 a1c1 a7a6	1360892	0.03464053
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8e7 c1g5 e8g8 e2e3 b8d7 a1c1 a7a6 c4d5	1115932	0.02840524
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8e7 c1g5 e8g8 e2e3 b8d7 a1c1 c7c6	1360892	0.03464053
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8e7 c1g5 e8g8 e2e3 b8d7 a1c1 c7c6 d1c2	1115932	0.02840524
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8e7 c1g5 e8g8 e2e3 b8d7 a1c1 c7c6 d1c2 a7a6	915064	0.02329229
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8e7 c1g5 e8g8 e2e3 b8d7 a1c1 c7c6 f1d3 d5c4 d3c4 f6d5 g5e7 d8e7 e1g1 d5c3 c1c3 e6e5 d1c2	153383	0.00390425
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8e7 c1g5 e8g8 e2e3 b8d7 d1c2	1659625	0.04224456
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8e7 c1g5 e8g8 e2e3 b8d7 d1c2 c7c5 c4d5	1115932	0.02840524
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8e7 c1g5 e8g8 e2e3 b8d7 f1d3	1659625	0.04224456
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8e7 c1g5 e8g8 e2e3 h7h6	2023933	0.05151776
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8e7 c1g5 e8g8 e2e3 h7h6 g5f6	1659625	0.04224456
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8e7 c1g5 h7h6 g5f6 e7f6 e2e3 e8g8 a1c1 c7c6 f1d3 b8d7 e1g1 d5c4 d3c4	339251	0.00863539
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8e7 c1g5 h7h6 g5h4 e8g8 e2e3	1659625	0.04224456
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8e7 c1g5 h7h6 g5h4 e8g8 e2e3 b7b6	1360892	0.03464053
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8e7 c1g5 h7h6 g5h4 e8g8 e2e3 f6e4 h4e7 d8e7 d1c2	750352	0.01909967
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 c1g5	5459172	0.13895929
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 c1g5 f8b4	4476521	0.11394662
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 c1g5 h7h6	4476521	0.11394662
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 e2e3 b7b6 b1c3 c8b7	3010013	0.07661771
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 e2e3 b7b6 b1c3 f8d6 c4d5 e6d5	2023933	0.05151776
