1FL16	r4rk1/ppp2pp1/2bp2qp/4p2N/8/7P/PPP2PP1/R1BQ1RK1 b - - 0 16	g6g2	500	0y1314191b
1MdEd	4r1k1/ppR2ppp/8/1P1p4/P2b4/6B1/5PPP/4Q1K1 b - - 0 30	e8e1	500	0p13141b
6tqoP	5r1k/1p6/2p5/8/3p3P/2P1q3/PPB5/1K3RR1 w - - 0 39	f1f8	500	0p13141b1f
83YHW	r4rk1/p1p1qpp1/1p5p/2p1P3/2B2pQn/P2P4/1PP2P1P/R5RK w - - 1 20	g4g7	500	0y1314191b
8obMO	2k4r/pp3ppp/2p1bn2/4p3/BPPrP3/1Nb2P2/P5PP/1RBR3K b - - 6 18	d4d1	500	060t1314191b
9AEYW	rn1Rq1k1/1p3p1p/p4p1B/2p4b/1PB5/P4P2/2P3P1/6K1 w - - 2 28	d8e8	500	0t0y1314191b1f
A7PrR	4r2k/2p2rpp/3p2q1/8/QP2n3/5pPP/Pb3P2/2B2RK1 w - - 0 29	a4e8 f7f8 e8f8	500	0t0y1315191o
BhqD5	r3k2r/ppp2pb1/3p1q1p/3P2p1/2B2P2/6B1/PPPQ2PP/2KR3R b kq - 0 18	f6b2	500	1314191b1k
BvghY	3R4/5pkp/p3p1p1/Pp2q3/5b2/3B1Q2/5PP1/7K b - - 2 34	e5e1 d3f1 e1f1	500	0p13151o
CECOn	8/8/2Q4p/p3ppp1/P4nPk/5P1P/7K/5q2 w - - 1 45	c6h6 f4h5 h6h5	500	0p13151o
CH6Pa	k2r4/p4Rpp/8/qb1p4/8/5B2/P1Q3PP/4R2K b - - 0 29	a5e1	500	061314191b
CuXtO	1k1n1b1r/ppp2p1p/8/4r3/4pN2/P3B3/1P4PP/2KR3R w - - 0 19	d1d8	500	1314191b1k
DalOe	8/R4p1p/4b1k1/4P3/5P1K/2r5/5B1P/8 b - - 8 40	c3h3	500	0p1113141b1d
Ge8hs	3k4/ppb4p/4QN2/P3P2q/3P2n1/2P5/1P3PPP/R4RK1 b - - 0 24	h5h2	500	0y1314191b
JOzMy	r2q1rk1/ppp2ppp/2b1p3/8/3PQ1P1/2nB1P2/PPP4P/2KR3R w - - 0 16	e4h7	500	0y1314191b
JdCLP	5kr1/p1Q5/3p1b2/2pR1P2/Np2P3/1P6/P1P5/1K6 b - - 0 33	g8g1 d5d1 g1d1	500	0p13151o
K8NSh	6k1/1q4pp/3pp3/5p2/3P4/4P3/P2Q1PPP/6K1 b - - 0 26	b7b1 d2c1 b1c1	500	060p13151i1o
KJXwm	7k/1BP3pp/QP6/8/4r1pP/P5b1/5r2/1K2R3 b - - 0 38	e4e1	500	0p13141b
Lam9h	4k3/1b3p2/4pQ2/1n2P3/1R5P/2r3P1/5P2/6K1 b - - 0 39	c3c1 g1h2 c1h1	500	0p13151d1o
Lug3S	5k2/2N2pp1/7p/8/1pnP4/7P/r4PP1/4R1K1 w - - 0 33	e1e8	500	0p1113141b
MBBxP	4r2k/1p4p1/5r1p/4b3/1P4Q1/7P/6P1/2BB3K b - - 0 34	f6f1	500	0p13141b1f
N3SrZ	1k3b1r/ppp2pp1/6b1/7p/1n6/1P3B1P/PBPr1PPN/1R2R1K1 w - - 0 18	e1e8 d2d8 e8d8	500	1315191k1o
O31O0	r4rk1/p4pp1/b1p4p/8/1bq5/4RN2/P1P2PPP/RQ1N2K1 b - - 9 18	c4f1	500	1314191b
OuoUH	2r3k1/pb5p/1p3R2/8/3p2P1/8/PP5P/K1Q5 b - - 0 34	c8c1	500	060p13141b
R6pd3	4r3/p1rk1p1p/1pq2bpP/2P2bP1/1B1P4/P3Q3/1K1R4/4R3 w - - 0 35	e3e8	500	1314191b
RxeBV	1k1r1r2/1pR5/p3N2p/4B1pb/2P5/7P/1PP2PP1/2K5 b - - 2 29	d8d1	500	0p13141b1d
THs7q	rn3rk1/pp3p1p/2pbp3/3p2q1/6Q1/2BPP3/PPP1NP2/R3KB2 w Q - 6 15	g4g5	500	0t0y1314191b
TjFHq	r1b3k1/6pp/1p2p1q1/1p1pP3/P1pPp3/B1P1P3/2Q3PP/5RK1 w - - 0 23	f1f8	500	0p13141b
UlUIx	2kr3r/1pp1ppNQ/p4p1p/3q4/8/4B3/PPP2PPP/R2R2K1 b - - 2 17	d5d1 a1d1 d8d1	500	061315191o
WXHu0	r3r1k1/ppp2pp1/5q1p/3p1Pn1/6PR/P2PP2R/1P4P1/2KN3Q w - - 1 26	h4h6 g7h6 h3h6	500	01191n1o
XUY2L	5k2/1p3pRp/p1pb3r/3p4/3P1P1r/1BP1B3/PP3P1P/6RK b - - 0 27	h4h2	500	0y1314191b
YiRUZ	6k1/5ppp/R3b3/1P2P3/8/1p3P2/2p2KPP/2r5 w - - 0 29	a6a8 e6c8 a8c8	500	060p13151o
aF2uK	R7/5r2/8/7p/8/4K3/8/4kq2 w - - 0 55	a8a1	500	0p13141b1j
auO4t	2kr3r/pp2bpp1/n3p3/q1p1P3/3PQ2p/1PP1BB1R/P3K1P1/R7 w - - 2 22	e4b7	500	1314191b1k
dyGKX	8/ppRB2p1/8/8/6PP/1k4r1/8/K7 b - - 4 47	g3g1 c7c1 g1c1	500	0p13151o
gCZ5R	8/1P1k4/3P4/3r4/R4Bp1/6Pp/5P1P/6K1 b - - 0 50	d5d1	500	0p13141b
hvITl	r1bqr1k1/ppp2pp1/4pn1B/4b3/6Q1/3B2NP/PP3PP1/R4RK1 w - - 2 21	g4g7	500	0y1314191b
i9iGI	r4rk1/p1p2ppp/1p6/2b1p3/4P2q/1PNP1QNP/1PP5/R4R1K b - - 0 18	h4h3	500	0y1314191b
iLoP8	2r2rk1/p2b1pp1/7p/4P3/8/3P4/PP3RPP/RNB4K b - - 0 22	c8c1 f2f1 c1f1	500	060t1315191o
jSqbi	rn3rk1/p1pp2pp/1p1bpn2/5p1q/2PP4/2NBPP2/PP2QP1P/R1B3RK b - - 6 12	h5h2	500	0y13141b1c
kVsUl	4r1k1/1Qp2pp1/7p/4q3/8/1PN5/1P3PPP/3R2K1 b - - 0 23	e5e1 d1e1 e8e1	500	060p13151n1o
l6lXe	5rk1/pp1b2pp/4p3/4B3/3Pp3/2P5/P1P3PP/5R1K b - - 1 23	f8f1	500	060p0t13141b
lKf81	8/Q6p/8/6pk/1P4b1/8/4p1PK/2q5 w - - 0 70	a7h7	500	0p13141b
lQ7TS	2kr2n1/ppp2p2/5q2/n3p3/4P1r1/2PR2Pb/PP1Q3P/3R2KB w - - 0 26	d3d8 f6d8 d2d8	500	1315191k1o
lsEYW	2k4N/ppp3pp/5n2/1PB5/4p1b1/P2r4/R4PPP/1N2K2R b K - 0 16	d3d1	500	1314191b1d
lxNkr	2r2r1k/pp4pp/8/n2BP3/2pB4/P1P2Q2/3q2PP/5RK1 w - - 0 26	f3f8 c8f8 f1f8	500	061315191o
pYTEb	1nn1k3/4P2p/1pq2rp1/8/8/1B3p2/PPP2P1P/2KRR3 w - - 0 30	d1d8	500	1314191b1f
