0HIfF	7k/p1r2rp1/1p2p1Qp/1Pbp1p1R/4qP2/7R/P1P3PP/7K w - - 2 32	h5h6 g7h6 h3h6 f7h7 g6e8 h8g7 h6g6	2200	0x0y1317191n1w
0Wj7s	3r1rk1/5ppp/p4qb1/8/6PP/4PN2/PP2QP2/R1B1K2R b KQ - 0 22	g6d3 e2d1 d3e4 f3d4 e4h1	2200	011019
2Am9E	4Q3/p6k/1p4pp/2p2rq1/8/P2P4/1P5P/5R1K w - - 8 37	f1e1 h7g7 e1e7 g5e7 e8e7	2200	010p101l
2ui8D	r4r2/1p4pk/2pq3p/5R2/p1nP1P2/2P5/PPQB2PP/R5K1 b - - 0 24	d6g6 f5f8 g6c2	2200	0g191o
3AESP	r4r2/1bqp1pkp/pnnbp3/6B1/1p6/3P1N1P/BPPQ1PP1/R4RK1 w - - 0 18	g5f6 g7f6 d2g5	2200	051315191n1o
3Y8HX	4r2k/p5b1/7p/2Q5/3B2p1/PP1P1pPq/5P1P/4rRRK b - - 0 32	h3g2 g1g2 e1f1 g2g1 f1g1 h1g1 e8e1	2200	050i0y1317191n1w
3uY9b	r2qr3/pp3p1k/1b3pbp/8/2Bn2PN/P1N4P/1P1Q1P2/3RR1K1 w - - 0 21	e1e8 d8e8 c3d5 e8c6 d5b6	2200	0g1019
4wxjw	4Q3/p5kp/b1p4b/3p4/2p2q2/1P1P4/P1P1K1P1/R3R3 b - - 6 33	c4d3 c2d3 a6d3 e2d1 f4d2	2200	0p101316
51Iae	2r2rk1/ppq2ppp/8/4PR1P/3pQ2B/P3b3/1P4P1/5R1K w - - 1 27	e5e6 f7f6 e6e7	2200	0001191o
5Og2e	8/5KR1/6pk/5b1p/5P2/8/1p6/1r6 w - - 1 63	f7g8 f5e6 g8h8 e6g8 h8g8 h5h4 g7h7	2200	0b0h0p13171w
6FhNV	2r2rk1/1b1p3p/1p1p2p1/p1nPn3/P1PN1q2/1P2R3/3QPNBP/5RK1 b - - 1 25	c5b3 d4b3 e5c4	2200	0b0g1112191o
6b2Fx	2br2k1/1pq1p1bp/2p1p1p1/2n5/3N1P2/3RBQ2/6PP/3R2K1 w - - 0 23	d4b5 c6b5 d3d8	2200	010j11191o
7sPsh	1r4k1/1bb3pp/p4r2/1N1Pp3/1P2B2q/P4P2/2Q3PP/R4RK1 b - - 0 23	c7b6 g1h1 a6b5	2200	010w191o
A0AdR	k2rr3/1b3p1p/P7/8/5Q2/1BNq2P1/1P3P1P/R5K1 b - - 0 26	d3d1 a1d1 d8d1 c3d1 e8e1	2200	101316191f1n
AFBX1	3r1k2/p5bQ/8/1pp1PNNp/5nq1/8/PPP3P1/2K2R2 b - - 6 30	g4d1 f1d1 f4e2 c1b1 d8d1	2200	060i101316191n
AWxue	8/7p/4k3/2R3PK/4r3/8/8/8 w - - 0 49	c5c7 e4e2 c7h7	2200	0g0p1m1o
BKHpw	r2qkbnr/ppp2ppp/3p4/4N2b/2B1P3/2NP3P/PPnK1PP1/R1BQ3R b kq - 1 8	d8g5 d2c2 h5d1 h1d1 g5e5	2200	0g0s101c
BXEJL	6k1/5p1p/3Qp3/2pn2B1/2P4P/6P1/rP3q2/2KR4 w - - 0 28	d6d8 g8g7 g5h6 g7h6 d8g5	2200	050p1013161n
BxGuJ	8/PR3pk1/8/8/2K2rp1/8/1RP4r/8 w - - 1 43	c4b3 h2h3 c2c3 h3c3 b3c3	2200	0g0h0p101m
C1aCM	4r1k1/p4pbp/5qp1/3P1b2/5Q2/1P4P1/PB3RBP/7K b - - 0 31	e8e1 g2f1 e1f1 f2f1 f6b2 g3g4 g7e5 f4e5 b2e5	2200	0g0i191w
E2QOm	8/1r1knp1p/3p4/7r/2P5/1P6/P1PR3P/1K1R4 w - - 1 39	d2d6 d7c7 d6d7 c7c6 d7b7 c6b7 d1d7 b7c6 d7e7	2200	050g0p0s1w
ECZjj	6k1/1b3p1p/p3p1p1/1p4r1/5N2/PB3P2/1PP2R1r/3RK3 b - - 7 38	g5g1 f2f1 g1f1 e1f1 h2h1 f1e2 b7f3 e2f3 h1d1	2200	01050i0r191w
Fk0bs	r3k2r/p1qp1pp1/np2p2p/4P3/4R1P1/PB3Q2/P1P2P1P/R5K1 w kq - 1 21	e4a4 a8d8 a4a6	2200	0111191o
FuQjb	8/2kr4/1p1p1r2/3P2p1/1p5p/RP3P1P/6K1/R7 w - - 0 37	a3a8 b6b5 a1a7 c7b6 a7d7	2200	0d0g0i0p101l1m1p
H2OFg	r4r1k/1b2b1pp/1qn1p3/5p2/1P1PpP2/BQP3P1/3NB2P/R4RK1 b - f3 0 18	c6d4 c3d4 b6d4 g1g2 d4d2	2200	0g0s10191g
HErur	6r1/1kn2p2/p3p2p/1p1bP3/3P3q/2R4N/2PQ3K/R4B2 b - - 4 29	h4e4 h3f2 g8g2 h2h3 e4f5 h3h4 g2f2	2200	0g0r191w
II2je	r4k2/ppp3r1/3q1p2/7Q/7P/7b/PPP2RP1/4R1K1 w - - 1 27	h5h8 f8f7 h8a8 d6c6 e1e2	2200	0g0h10191p
K5Par	krr5/p7/Pq2P3/3P4/3R3P/2P2QP1/1P3P2/2K1R3 b - - 0 36	b6b2 c1d1 c8c3	2200	0g0p1o
K8KGY	8/8/p1p5/8/1N3p2/3k3p/PP3K2/8 b - - 4 45	d3d2 b4c6 h3h2 f2g2 f4f3 g2h2 f3f2 h2g2 d2e1	2200	000g0h0p0r0z111n1w
KCd59	6k1/8/8/1pP1b3/P7/6p1/6K1/8 w - - 0 46	a4a5 g8f7 a5a6 e5b8 c5c6	2200	080g0p101l
KEPsR	r1n2rk1/6pp/p2bp3/Pb1pNq2/3p1PN1/4BR2/1P4PP/R2Q2K1 w - - 0 22	g4h6 g7h6 f3g3 g8h8 e3d4 d6e5 d4e5 f5e5 f4e5	2200	010y11191n1w
