mbhXL	6b1/pp6/7P/8/2P2K2/1k2N3/8/8 b - - 2 43	a7a5 e3d5 a5a4 d5f6 a4a3	2142	0g0p10111l
npHhw	r2qr1k1/pp3pp1/1bp4p/5Q2/3P1n2/1B3bN1/PP3P1K/R3R3 w - - 0 22	b3f7 g8h8 e1e8 d8e8 f7e8	2142	0g0s1019
oQP79	6k1/q3pr2/3pN1p1/3P3p/2p1P1P1/2P3K1/1Q3nP1/3B1R2 b - - 0 32	f2e4 g3h2 f7f1	2142	0g0j1112191o
of5MF	1rr5/p4qpk/3Q3p/4P3/5N2/5N2/bPPB1PPP/2KR3R b - - 0 21	c8c2 c1c2 f7b3 c2c1 b3b2	2142	05101316191k1n
ovzwf	r2qr3/1p2kp2/4pn1R/1p1nN3/3P4/P4Q2/1P3PPP/R5K1 w - - 2 22	h6f6 d5f6 f3b7 f6d7 e5c6 e7f8 c6d8	2142	0g0s191p1w
pUr6Y	Q7/1P4pk/3p4/2p1pK1p/2P1P2P/4bNP1/8/5q2 b - - 1 34	f1h3 g3g4 h3g4	2142	0p13151o
qCTru	4rbk1/1RB4p/3p2p1/3P4/5p2/1PP1p3/1P3PPP/5K2 b - - 0 26	e3e2 f1e1 f4f3 g2f3 f8h6 c7d6 h6d2 e1d2 e2e1q	2142	0001050p1h1l1n1w
sMjgF	2r2rk1/1q2Qpp1/p4n1p/5P2/p7/P1P5/BP1R2PP/4R2K b - - 4 25	c8e8 a2f7 f8f7 e7e8 f6e8	2142	011019
slRS4	6rk/pp1q1brp/5Q2/2p1p3/3pP3/6R1/PPP2PP1/2K4R w - - 0 26	h1h7 h8h7 f6h4 f7h5 h4h5	2142	050y101316191g1n
tAcQa	2r3k1/5pp1/4p2p/2q1P3/P7/4nN1P/6P1/2QR3K w - - 1 33	d1d8 c8d8 c1c5 d8d1 f3g1	2142	0g0h0i0p10
tjYWz	7k/1R5p/4p1p1/4P3/3P3P/q4P2/P1r3PK/1RNn4 w - - 1 32	b7b8 h8g7 b1b7 g7h6 b8h8 c2g2 h2g2 a3b2 b7b2	2142	0g0p1w
v5nnF	4k3/7p/PK2p2p/1N6/8/8/7r/8 w - - 0 32	a6a7 h2a2 b5c7 e8e7 c7a6	2142	000g0h0p0r10
vJXD4	8/8/p1k3p1/1pp1Pp1p/P1Pp1P1P/3K2P1/8/8 w - - 0 45	c4b5 a6b5 a4a5	2142	0g0h0p11121e1o1r
xT6T1	2q1kb2/1r1n2Q1/p6r/B1p1P3/2Nn1P1p/3P3P/P1P5/R4RK1 w - - 1 23	g7h6 f8h6 c4d6 e8f8 d6c8	2142	0g0r0s10191n
xlfqf	3q2k1/5ppp/pp2pn2/4Qb2/2P1NP2/1P3B1P/P5P1/7K b - - 1 26	f6e4 f3e4 f7f6	2142	0g0p1o
ypB4D	4B3/6Rp/4p3/3nk3/8/r4P2/5P1P/6K1 b - - 0 33	a3a1 g1g2 d5f4 g2g3 a1g1 g3h4 g1g7	2142	0g0p1p1w
0Vbh3	rn1q1rk1/pp4bp/4b1p1/3N1p2/3PN3/1P2PBP1/P6P/R1BQ1RK1 b - - 0 15	f5e4 d5f4 f8f4 g3f4 e4f3	2143	01101119
