tCKwa	5rk1/pQ3pp1/7p/q7/8/1P6/P5PP/4R2K b - - 0 35	a5e1	467	060p0t13141b
uSsEf	8/5r1p/2kp4/1R2p1B1/8/8/6PP/5R1K b - - 0 43	f7f1	467	060p13141b
vYhAy	3r2k1/1N2R1p1/pp2pp1p/2p1P3/5n2/2P5/PP3PPP/6K1 b - - 1 24	d8d1	467	0p13141b
wYav3	2r1k2r/2q1bppp/p2p1n2/3B4/1p1B1PP1/5Q2/PPP4P/2KRR3 b k - 0 17	c7c2	467	1314191b1k
xKM9Y	2b3k1/5ppp/8/p1p5/4p3/qP2P3/P4PPP/2RR2K1 w - - 0 24	d1d8	467	060p13141b
xlYRl	5r1k/ppq3pp/3b1r2/8/2p2P1P/3Q2P1/PPB3K1/3R1R2 w - - 0 28	d3h7	467	0y1314191b
yMDc7	8/1p3p2/4pBp1/4P2k/1R6/3K3p/7r/8 w - - 0 54	b4h4	467	0p13141b1d
yPnGb	5rk1/2p1qpp1/1r1n3p/8/2PQn3/1P4P1/PB2PP1P/3R1RK1 w - - 0 24	d4g7	467	0y1314191b
yXuFw	4K3/8/5Pk1/6P1/5n2/8/8/8 w - - 1 56	f6f7 g6g5 f7f8q	467	000g0p0z1h1o
yuViC	r4rk1/pbq2ppp/1pp1p3/8/4Q3/3B4/PPP2PPP/3RR1K1 w - - 1 17	e4h7	467	0y1314191b
zFbYN	r3b1qk/7p/pp1Brp1N/2P1p2P/1P3n2/6R1/5PP1/4R1K1 w - - 0 38	g3g8	467	0y111314191b
zHusk	2k4r/pp1n1pq1/2p1p1p1/3pPnP1/3P1N2/B1PK1P1Q/2P5/7R w - - 6 33	h3h8 g7h8 h1h8	467	0g191o
0SomD	3r1k2/p4ppp/1pN1p3/1n6/b3p3/P3P3/1KP2PPP/3R4 w - - 0 26	d1d8	468	0p13141b
0fVgj	5k1r/4ppbp/p2p2p1/Qp6/4q3/2P5/PP3PPP/R1B3K1 w - - 0 19	a5d8	468	0p13141b
1grnu	r1q2rk1/1p3pp1/p2p3p/3Pp1N1/2P3b1/3Q2P1/PP3P1P/R4RK1 w - - 0 19	d3h7	468	1314191b
3C4cv	2rq1rk1/p3bppp/2p5/1p1pP3/1PnP2b1/P1NQ4/1BB2PPP/R4RK1 w - - 3 18	d3h7	468	0y1314191b
3UCnk	6k1/p4pp1/2B4p/2p5/3p2b1/8/PPP1rPPP/R1B3K1 b - - 2 21	e2e1	468	060p13141b
3aq0z	8/4RR1p/2p3pk/1p6/p2r3P/P5b1/2P5/7K w - - 1 40	f7h7	468	0p13141b
3cTVD	6k1/5pbp/3p2p1/p2R1p2/2R1r3/1Q5P/P4PPB/6K1 b - - 0 34	e4e1	468	060p1113141b
3caki	7k/5pp1/4p2b/3pP3/3R3P/2rB1K2/r7/1R6 w - - 0 40	b1b8 c3c8 b8c8	468	0p13151f1o
47unx	r1b1q1k1/pp4pp/2pB2n1/3p4/4r3/2P3QP/P1P2PPN/R3R1K1 b - - 5 19	e4e1 a1e1 e8e1	468	010y191o
54HZK	r7/3p1pk1/4p1p1/q3P2p/P1R2P2/1R3Q2/6PP/7K b - - 0 39	a5e1 f3f1 e1f1	468	0p13151o
64XGX	5r2/Rp4kp/2p3p1/4P3/2bP4/2P5/2B3PP/6K1 b - - 0 32	f8f1	468	0p13141b1d
