18Sbx	3rr2k/ppp2pp1/4b2p/8/4NQ2/3q4/PB4PP/R6K w - - 3 26	f4h6 h8g8 h6g7	1700	1315191g1o
2a25o	rn5k/p1r4p/1p6/1P1Ppb1B/P4b2/q1B2R2/5PP1/3QK2R w K - 8 33	c3e5 f4e5 f3a3	1700	0g0j191o
2aSRg	r4rk1/ppb2p1p/3q1p2/3b4/7N/5QP1/PPP2P1P/R4RK1 w - - 1 18	f3g4 g8h8 h4f5 f8g8 g4g8 h8g8 f5d6	1700	010y191w
2alHG	3r1b1r/p1pk1p2/Q1q5/5n1p/3P4/1P3p1P/PB3PP1/R4RK1 w - - 0 18	a6c6 d7c6 d4d5 c6b6 b2h8	1700	01050j1019
3Ij7y	4QQ2/k1q3p1/2p5/8/P1p5/8/KPP5/5q1r w - - 0 39	e8a8 a7b6 f8b4	1700	0p13151o
3iCEt	1R6/2R3pp/4k1p1/1p6/1P1Pp3/3b2KP/1r3PP1/q7 w - - 0 38	b8b6 e6d5 c7c5 d5d4 b6d6	1700	0p0r101316
4jSa8	8/8/1P2n3/4N1k1/6p1/5bK1/8/8 w - - 6 56	e5f3 g4f3 b6b7	1700	000g0p1o
4tKIL	8/8/5k2/p2p3P/4p1B1/2p1K3/P7/8 b - - 1 45	d5d4 e3d4 c3c2	1700	00080g0p1o
5HD7j	r3q2k/p3b1p1/bp2pn2/8/3PQ3/2N1PR2/PP1B2PP/6K1 w - - 3 21	f3h3 h8g8 e4e6 e8f7 h3h8 g8h8 e6f7	1700	0g0i0y191w
75Ft6	2k4r/ppp2pp1/3p4/2bNp3/3nP3/2PPB1r1/PP3RBq/R2Q1K2 b - - 0 22	h2h1 g2h1 h8h1	1700	1315191n1o
7SY3Z	2r5/8/p1p3k1/PrRb1p1p/3R4/6BP/5PPK/8 w - - 4 34	d4d5 c6d5 c5c8	1700	010p111o
7XZ9h	r5k1/1p3bpp/2p5/4P3/pPp5/P1Qq3P/1B4P1/4R1K1 w - - 1 31	e5e6 d3c3 e6f7 g8f7 b2c3	1700	00010p101n
8Vusa	8/6R1/1pp3p1/p1k5/8/1P1p2B1/P1P3rP/1K6 b - - 1 35	d3d2 g7d7 g2g1 b1b2 d2d1q d7d1 g1d1	1700	00010p1h1w
