2lqiG	1k1r3r/ppp3p1/8/2q5/1PPn1QB1/6P1/P5P1/R4RK1 b - - 0 22	d4e2	800	0k0m111314191b
5NwWk	2r4k/6pp/PQ3p2/2r5/8/6P1/5PPK/8 b - - 4 36	c5h5 h2g1 c8c1	800	0p13151j1o
AQUQT	r1b3k1/ppp2ppp/n5q1/3Nr3/8/6P1/PPP1BP1P/R2QK2R w KQ - 2 13	d5e7 e5e7 d1d8 e7e8 d8e8	800	0d0s101316191n
AxYH3	8/5kpp/8/2R2p2/2P5/3P4/1P2NKPP/r1n5 b - - 0 34	c1d3 f2e3 d3c5	800	0g0p0s1o
B7GuY	rn1qr1k1/p6p/1pp2pp1/3b4/1P1PN3/P1Q5/3N1PPP/2R1R1K1 w - - 5 21	e4f6 d8f6 e1e8	800	0g0i0j0y191o
DK9KH	r3k2r/1b1p1pp1/pq2p3/1p5p/3PPPn1/P4N2/BPP3PP/R2QR2K b kq - 0 18	g4f2 h1g1 f2d1	800	0g0s191o
F0zhm	8/8/3k4/p3p1p1/3p2P1/1P2nPK1/P2R4/8 b - - 1 47	e3f1 g3f2 f1d2	800	0g0p0s1o
FmTxG	r1bk3r/ppp2B2/3b3p/8/3R4/1QP4n/PP1N2PP/6RK b - - 0 20	h3f2	800	1314191b1q
Fr41t	5r2/pp6/1kp5/3p4/3P4/2P1R3/PP2p1BP/7K b - - 1 37	f8f1 g2f1 e2f1q	800	000p13151h1o
HLeOJ	7k/5Q1p/3p1p2/p1p1qP2/1p2P3/3r3P/PP2R1P1/7K b - - 0 28	d3d1 e2e1 d1e1	800	0p13151o
HffVl	rn1q2k1/ppp2ppp/1b6/4r3/2QP4/8/PP4PP/RN3RK1 w - - 0 15	c4f7 g8h8 f7f8 d8f8 f1f8	800	0610131619
Jh4lU	4r1k1/2p3pp/3p4/p2P4/2P1bN2/1PQ5/PR2K1r1/5q2 w - - 0 37	e2f1 g2b2 c3b2	800	010t191o
