0DUKK	8/2pQ1pk1/pp2r3/2pR2p1/2P5/4PqP1/PP3P2/6K1 b - - 1 33	e6f6 d5g5 g7h6 d7d2 h6g5	2650	0g0h0p101l
1PCY9	3r2k1/1bq4p/pp4pQ/8/2Prp3/1P5P/P1BR2P1/3R3K b - - 1 28	d4d2 d1d2 d8f8 d2d1 c7g3 c2e4 b7e4	2650	0g191l1w
2RWg0	r2r2k1/pp2Rp2/1q1P2p1/1P5p/P5b1/1B3KP1/3Q3P/2B5 w - - 2 35	f3g2 d8d6 b3f7 g8f8 d2e1	2650	0g0h1019
32rbU	8/8/6p1/2K1p3/3pPk2/5P2/8/5N2 b - - 2 47	f4f3 c5d5 f3f4 d5c4 f4e4	2650	0g0p0z10
4InNt	6k1/1p2rp1p/3b2p1/3Q1p2/3P3q/PB3P1P/1P3PK1/3R4 b - - 3 29	h4g5 g2f1 d6h2 d5d8 g8g7 d8e7 g5e7	2650	0g0p111l1w
4TooZ	r2r4/2p2pp1/Pknbpn1p/1B3b2/2P5/3P1N2/1P3PPP/R1B2RK1 w - - 1 20	c1e3 d6c5 b5c6 b6c6 f3e5 c6b6 e3c5	2650	01050r191w
5DITE	1rb2r2/1pqn2p1/p3p1k1/3pn3/7Q/4P3/PPP1N1PP/R4RK1 w - - 0 18	f1f8 d7f8 a1f1	2650	0d0g191o
5h6Y9	3k3r/3n3p/3pQPpN/2p1p1P1/1p2P3/3P1K2/1q6/8 w - - 6 57	h6f7 d8c8 f7d6 c8d8 d6f7 d8c7 e6d6 c7b7 d6d7	2650	0g0i0p0r0s1w
6Mhuf	6R1/p6p/3q2pk/6r1/8/1Q3P2/6P1/4R2K b - - 0 37	d6d2 g2g4 d2e1 h1h2 g5e5	2650	0g0h0p10
6TbFq	r2q1r1k/pp3p1P/2p1p1pQ/n2pn3/7P/P1P1BN2/2K2P2/7R w - - 0 23	f3e5 a5c4 e3g5 c4e5 g5d8	2650	010t1019
6WICD	4rrk1/p1p3pp/1p1p3n/3P1RN1/1PP1p2q/P5N1/3Q2PP/5RK1 b - - 0 24	h6f5 g3f5 e4e3 d2e3 e8e3	2650	011019
6dNB6	6k1/7p/5pp1/1P2r3/3RPK2/r7/6PP/1R6 b - - 0 32	h7h5 h2h4 e5c5 e4e5 f6e5 f4e4 e5d4	2650	010p0s1l1m1w
7JJ9Z	1rb1Rn1k/p5qp/1p3n2/2b5/2B2Pr1/1P3Q2/PBP3PP/5R1K w - - 3 27	e8c8 b8c8 b2f6 g7f6 f3g4	2650	010b10191g
9voM3	1r4r1/pp1k3p/2pp1Bq1/1N6/8/6P1/PP5P/3R1RK1 w - - 0 27	d1d6 d7c8 f6e5 g6g5 b5a7	2650	0110191l
AGboC	8/8/5p1p/1K1BkPp1/4P1P1/p6P/1b6/8 b - - 14 46	e5f4 b5b4 f4g3 e4e5 f6e5	2650	080g0p10
BOxRq	8/8/p2p3p/1P4p1/2K1k3/8/2P3PP/8 b - - 0 34	d6d5 c4c5 a6b5 c5b5 d5d4	2650	0g0h0p10111e
BvXPA	8/6k1/2q1r1pp/p5p1/8/P6P/1Qpr2PB/R1R4K b - - 3 43	g7h7 c1g1 d2g2 g1g2 e6e2 a1g1 e2g2 g1g2 c2c1q b2c1 c6c1	2650	0001050h191g1h1n1w
CYg22	4r1k1/pp3p2/6pQ/7P/3P4/P5R1/1Pq2PP1/4R1K1 b - - 0 31	e8e1 g1h2 c2f2 g3c3 f2h4	2650	010p10
D26bn	r4rk1/pb1nqp2/1p2pn1p/5Np1/2P4B/1BN5/PP3PPb/R2QR1K1 w - - 0 16	g1h2 e7c5 f5d6 g5h4 d6b7	2650	010t1019
D6Jsc	8/1p6/3p2p1/3P4/1pP1pk2/P7/4K1P1/8 w - - 0 42	a3b4 f4e5 e2e3 g6g5 g2g4 b7b6 b4b5 e5f6 e3e4 f6g6 c4c5 d6c5 e4e5 g6f7 e5f5 c5c4 f5e4 f7e7 e4d4 e7d6 d4c4 d6e5 d5d6	2650	0g0p1e1l1w1z
DRluw	2Q5/p4pkp/4r1p1/1Bb1q1B1/3p3P/8/P5P1/5RK1 b - - 6 31	d4d3 g1h1 c5d6 g5f4 e5b5	2650	010j0k10191l
DT4Uv	3r1B1k/pp4pp/4Rb2/1q6/2p1B3/2n3QP/P5P1/3R3K b - - 0 27	d8d1 h1h2 c3e4 f8g7 h8g8 e6e4 f6g7 e4e7 b5b2	2650	010t191w
EYD9j	r5k1/pp2pp1p/3p1npQ/4nP2/4P3/1B3q2/P1P5/2KR3R w - - 0 20	f5g6 e5g6 d1g1 f3e4 h1h4	2650	0110191g
EqbYa	1R6/8/8/2r1PK2/2k5/1p6/8/8 b - - 1 68	c5b5 b8c8 c4d4 c8d8 b5d5 d8b8 d5e5 f5f4 e5e4 f4f3 e4e3	2650	0g0h0p111m1w
F6Wcu	5rk1/1p3ppp/1q2b3/4P3/p3B3/2p2Q2/2P2PPP/2K1R2R b - - 1 26	b6b2 c1d1 e6c4 e4h7 g8h8 h7d3 b2b1 d1e2 b1c2	2650	010i191g1k1l1w
FKabT	6k1/1K6/8/2B2pp1/7p/8/7P/8 b - - 0 40	f5f4 b7c6 g5g4 c6d5 g4g3 h2g3 h4h3	2650	080g0p1l1w
FrJfq	8/8/4k3/1pKp2p1/8/1P4PP/8/8 b - - 3 41	e6e5 c5b4 d5d4 h3h4 g5h4 g3h4 e5f4 h4h5 f4g5 b4a3 g5h5	2650	0g0p1e1l1w
Fsk0V	6k1/5pb1/3p4/3PpN1P/6QP/1p3P2/3K1q2/8 w - - 1 34	d2c3 f2c2 c3b4 c2c5 b4a4 c5a7 a4b3	2650	0g0h0p1w
G7A6F	8/8/8/1R4p1/8/1k1N1P1r/2p5/4K3 b - - 1 53	b3c4 b5a5 c4d3 a5a3 d3c4 e1d2 g5g4	2650	0g0h0p1w
GA2yU	8/8/1p3r2/5pk1/2P3pq/1P2PPQp/P1B5/5KR1 b - - 0 44	h4g3 g1g3 g5h4	2650	010p1o
GffLy	8/8/1p1K4/3N1k2/2P1p3/8/8/3b4 w - - 2 46	d5e3 f5f4 e3d1 e4e3 d1c3 f4f5 d6d5	2650	0g0h0p0s1l1w
ILnQX	r5k1/pq1n1pp1/1p1Bp2r/1B5p/PP2P3/2PQ2PP/6K1/4R3 w - - 5 31	b5a6 b7c6 b4b5 d7c5 b5c6	2650	0g10191t
K499L	7k/p1r3pp/1pB2bq1/1P2p3/2Qpn3/6B1/1P4PP/5RK1 w - - 0 30	c4d5 h7h5 d5e4 g6e4 c6e4	2650	011019
MEDqd	5k2/5p2/2N2Pp1/P3K3/8/7p/5n2/8 w - - 0 54	a5a6 f2g4 e5d4 g4f6 a6a7	2650	000g0h0p0z10
NU3Wg	2r1r1k1/1b4p1/pp3P2/2qN1P2/3QP2P/1P6/PB3R2/6K1 b - - 0 31	c5d4 b2d4 c8c1 f2f1 c1f1 g1f1 e8e4 d5e7 g8f7	2650	010d0r11191w
ON23o	5r1k/pb4pp/1p6/2pq4/2Pp2n1/1P3P2/P4BP1/R2QR1K1 b - c3 0 28	d5d6 f3g4 d6c6 d1f3 f8f3	2650	0g10191l1n
OUZmS	r7/r3qpk1/p3p1p1/Rp2P3/2pP1Q2/2P2P2/6K1/R7 w - - 3 35	a1h1 a8h8 h1h8 g7h8 a5a1 h8g8 a1h1	2650	0g0h0p1l1w
OjpMi	r1bq1rk1/pP3ppp/4pn2/8/8/6P1/PP2PbBP/R1BQ1RK1 w - - 0 12	g1f2 d8b6 c1e3 f6g4 f2e1 g4e3 b7a8q	2650	000g0t1c1h1w
QpygQ	3r4/4kp2/1p2p2p/p1q1PP2/P1Pr2Q1/1PK5/7P/3R4 w - - 0 38	f5f6 e7e8 d1d4 d8d4 g4d4	2650	010p0w10
QqGqm	1k3b1r/ppr2p2/3p2bp/1Q4p1/3Pp3/q7/P4PPP/1R2R1K1 w - - 0 26	b5e8 c7c8 b1b7 b8b7 e8d7 b7a6 d7c8 a6a5 c8c7	2650	050g0i0j191k1n1w
QxrgE	8/8/2p5/1p2kppp/2P5/P5PP/1P3K2/8 w - - 1 35	c4b5 c6b5 f2e3	2650	0g0h0p1e1o
Rqb0V	r4rk1/pbp2p2/1p1p4/2nP2pQ/2P1P3/2q5/P1BN2PP/5RK1 w - - 2 22	f1f5 c3a1 d2f1 c5e4 c2e4 a1d4 g1h1	2650	01191w
SGAO9	8/8/2p3pp/p1k1p1P1/1pP1P2P/1P1PK3/8/8 b - - 0 41	h6g5 h4g5 a5a4 b3a4 b4b3 e3d2 c5b4 a4a5 b4a5 d2c3 a5a4	2650	0g0h0p1e1w
SVl6L	8/7p/6p1/4Kp2/3B1P2/6P1/7k/8 b - - 1 51	h2g3 e5f6 g3f4 f6g7 h7h5	2650	080g0h0p10
T29Cu	rnb1k1nr/pp3ppp/2p1p3/1B6/8/5Q2/q2B2PP/3RK1NR w Kkq - 0 12	f3c3 g8e7 b5c4 a2a4 d1a1	2650	01101c
Tth09	r2r4/1pq2p1p/p5kB/5b2/4n3/2P2Q2/PPB2PPb/4R2K w - - 0 22	e1e4 d8d1 c2d1 f5e4 f3h5	2650	0g1019
TwqGE	1r5q/kBQ5/pN6/8/8/P6p/K1P5/8 b - - 0 42	h8d8 b6c8 b8c8 c7c8 d8c8 b7c8 h3h2	2650	000g0p1n1w
VdlDH	rn2k1r1/3p1p2/2p1pPp1/4Q2p/p2R4/2q5/5PPP/5BK1 w q - 2 27	e5d6 e8d8 d4a4 c3c5 d6c5	2650	011019
W16ER	r4rk1/pp1bq2p/2n1p1pQ/3p4/2pp4/2P1R2R/PPB2PPP/6K1 w - - 0 23	c2g6 h7g6 e3g3 c6e5 h6h8 g8f7 h3h7 f7e8 h7e7 e8e7 h8e5	2650	010s191n1p1w
W1beB	8/1p6/2p1k3/p1P1pp2/P3P1p1/3K3P/1P3P2/8 w - - 0 35	e4f5 e6f5 h3g4 f5f4 b2b3 e5e4 d3d4 e4e3 f2e3	2650	050g0p1e1l1w1z
Wt83w	8/5p1p/1p1kpp2/pK6/3P1P2/2P5/5P1P/8 w - - 0 35	c3c4 d6c7 c4c5 c7b7 f4f5	2650	0g0p101e1l
XAFQh	5b2/8/2k3P1/7K/8/p1N2p2/5P2/8 b - - 1 53	c6c5 c3a2 c5c4 a2c1 c4c3	2650	0g0h0p10
YNDjs	1r4k1/3R1p2/2Q1p2p/2P1P1p1/8/1r2B1KP/5PP1/7q w - - 1 40	c6f3 b8f8 d7d1 h1d1 f3d1	2650	0g0p101t
Yc1JG	8/p3R2p/b1pN2pk/3p4/3q1P2/8/PP4PP/3rQ2K w - - 4 33	d6f7 h6h5 e7e5 d4e5 g2g4 h5g4 f7e5	2650	050g0p0w1n1w
Z84Er	r7/8/8/2pk1pp1/P1R5/1K4P1/5P1P/8 b - - 0 37	a8b8 b3c3 b8b1 c3c2 d5c4 c2b1 g5g4 b1c1 c4b4	2650	0g0p1l1m1w
ZJxez	8/7k/p4Bp1/1p5p/1Pr1pP2/P4qP1/3p1N1P/1Q3RK1 b - - 3 48	e4e3 f2d1 e3e2 f1f3 c4c1 b1b3 e2d1q b3d1 c1d1	2650	00010p0s1h1n1w
ZyAF4	r4r2/ppp2k2/2n2pnp/8/2P4q/P4P2/1BQ2P1P/6RK w - - 0 22	c2g6 f7e7 g1e1 e7d8 g6g7	2650	0g1019
ay8gs	1b1k3r/1p2n3/3q1p2/n2p2P1/P2P2Qp/2P1B2P/4B1P1/R4RK1 b - - 0 25	d6h2 g1f2 f6f5	2650	01191o
bOtQY	8/7k/p2P3b/3Pprpp/5rqP/1P2BpP1/P4P1K/1Q1RR3 b - - 0 37	g5h4 e1g1 f4e4	2650	0g11191o
co5y8	r4rk1/pp3ppp/2p1p3/5bPP/1nP1q3/1B2BQ2/P4P2/2R1R1K1 w - - 2 23	f3e4 f5e4 e3d2 b4d3 e1e4 d3c1 d2c1	2650	010j191w
d4b7q	8/p6p/6p1/P1kPp3/4N1PP/4K3/2b5/8 b - - 0 40	c2e4 e3e4 c5d6 h4h5 g6g5 h5h6 a7a6 e4f5 d6d5 f5g5 d5e6	2650	0g0h0p111l1w1z
dIUsD	8/7p/4p1k1/6R1/2P1KP1p/1P6/P5r1/8 b - - 2 43	g2g5 f4g5 e6e5 e4f3 g6f5 f3g2 e5e4	2650	0g0h0p111l1m1w
e9xSF	8/8/7p/4n1p1/2P2k2/3N4/P3K3/8 b - - 3 38	e5d3 e2d3 h6h5 c4c5 f4e5	2650	0g0h0p0z101l
eGaMv	8/8/2pk2p1/1p2pp2/1P4P1/P3KP2/7P/8 b - - 2 33	f5g4 f3g4 g6g5 e3e4 d6e6 h2h3 e6d6 e4f5 d6d5 h3h4 g5h4	2650	0g0p1e1l1w
fXWia	7k/p5np/1p1Q4/1PpPpB2/4Pq2/8/PP3K2/8 w - - 3 34	f2e2 f4h2 e2d3 h8g8 d6b8 g8f7 b8a7	2650	0g0h0p1w
gUEuO	1r6/p1p2k2/2p2br1/3p2pQ/1q1Pp3/1P2P1R1/P1P5/2BK2R1 w - - 2 37	g1f1 b8g8 g3g5	2650	0g191g1o
gmJiU	1r2r3/5k1p/p1np1q1B/3N4/3bP3/2pP2R1/P1P3P1/5R1K w - - 2 29	g3g7 f7e6 d5c7 e6e5 g7g5 f6g5 h6g7 g5g7 f1f5	2650	0d0r1318191g1n1w
h4tSW	3q2k1/4ppbR/p2p2p1/1p4P1/n4PB1/2r1B3/P1P4Q/1K6 w - - 6 31	h7g7 g8g7 e3d4 e7e5 f4e5 d8g5 e5d6 f7f6 d6d7	2650	0001050j0k0s11191n1w
iTE1F	3r1rk1/1b1q2p1/1pn1ppn1/p3P1NQ/3p3P/3P2P1/PPBN1P2/R3R1K1 b - - 0 20	f6g5 h5g6 c6e7 g6g5 f8f5 g5g4 d7c6	2650	011112191w
jnshc	1r6/2k5/5PP1/8/2P5/Pp2r3/1P5p/1BK4R b - - 6 40	b8d8 f6f7 e3g3 f7f8q d8f8	2650	0g0p101l
joDru	5rk1/pp5p/4pnr1/3p1qN1/5PpQ/2P3RP/PP4P1/3R2K1 b - - 0 25	h7h6 h3g4 f5c2 d1e1 h6g5	2650	0g1019
lVyAa	r1bq1rk1/p4ppp/1p2p3/2bn4/5P2/2BB1N2/PP2Q1PP/R4R1K w - - 3 15	d3h7 g8h7 f3g5 h7g6 e2d3 f7f5 d3g3	2650	01050h0y191n1w
lkmmQ	3q1rk1/pp3ppp/3bp3/3n4/3P4/P1rBBP1P/3Q1P2/R5RK w - - 0 20	g1g7 g8g7 e3h6 g7h8 h6g7	2650	050g0y10191n
mbJAP	8/8/8/p1p1pk1K/2r5/2R2P2/PP3P2/8 b - - 1 38	c4c3 b2c3 c5c4 h5h6 f5f4 h6g6 f4f3	2650	0g0p111l1m1w
n0QNN	8/p7/1pp1k3/6p1/PP1PK1P1/8/8/8 w - - 0 47	b4b5 e6d6 e4f5	2650	0g0p1e1o
nSmfx	3k4/8/2K5/2P5/4R3/8/7p/7r w - - 6 51	e4e2 h1b1 e2h2	2650	0g0p111m1o1z
nimGt	r2q1rk1/2p2ppp/p1n5/1p1pP3/4n3/1BPQbP2/PP3P1P/RN2R1K1 w - - 0 14	d3e3 e4g5 f3f4	2650	01191o
ofo6h	8/8/4pp1p/p2k2pP/P2P1P2/1P2KP2/8/8 b - - 0 33	g5f4 e3d3 e6e5 b3b4 a5b4 a4a5 d5c6 d3c4 e5e4	2650	0g0p1e1w
oiq5Q	8/8/8/1p2ppk1/4p3/2P1K1p1/2P5/6R1 b - - 1 40	g5g4 g1a1 g4h3 a1h1 h3g2	2650	0g0p101m
on9KY	r4rk1/5p1p/ppq2Bp1/2b2p2/2N2Q2/7P/1P3PP1/3R2K1 w - - 2 24	c4d6 c5d6 d1d6 a8c8 d6c6	2650	011019
p0h2W	r4rk1/p2R1ppp/8/1p6/8/1P1R1Q1P/q4PP1/6K1 w - - 0 25	f3a8 a2a1 g1h2 a1e5 f2f4	2650	0g0p10
p5B7e	3r1rk1/pp2qpp1/2pb3p/7b/4PPn1/1BN1B1N1/PPP3P1/R3QRK1 b - - 1 16	g4e3 g3h5 d6c5 g1h2 e3f1	2650	010y10191l
pyykO	3r1rk1/2R3p1/4p2p/8/3p2P1/3Q3P/1RKB4/q7 b - - 1 39	d8c8 b2b7 c8c7	2650	0g11191o
sgYSr	r2q2k1/6np/pbb3p1/5p2/2Np1Q2/3B4/PPP2P1P/R3R1K1 b - - 1 23	g7h5 f4d2 d8d5	2650	01191o
sit3z	r5k1/4b1pp/4p1p1/2Bp4/3Q2P1/1qP1PP1P/1P6/2KR2R1 b - - 4 27	a8a1 c1d2 b3b2 d2d3 a1a2	2650	0g0h0i10191k
stUNy	8/8/p7/1p2k1p1/P6p/1PP1K3/7P/8 w - - 0 42	a4b5 a6b5 e3f3 e5f5 h2h3 f5e5 f3g4 e5f6 c3c4	2650	0g0p1e1l1w1z
uILwy	1k4r1/pp5Q/2p3P1/3bP2P/6r1/2P5/P4P2/R4K2 b - - 2 28	d5c4 f1e1 g4e4 e1d2 g8d8 d2c2 e4e2 c2c1 e2e1	2650	010p1w
uLw0U	k1r3r1/pp1q1p2/4p2p/1P1n4/3P1PP1/5BB1/6P1/R4QK1 w - - 8 32	b5b6 d5b6 f1a6 d7d4 g3f2	2650	010d0h1011191g1n
umN9z	7k/pb4p1/1p5r/8/5Nnr/2PBp2P/PP4P1/4RR1K b - - 1 32	g4f2 f1f2 h4h3 f4h3 h6h3 h1g1 e3f2 g1f2 h3d3	2650	0001191g1n1w
uyI68	4Rrk1/pp3rpp/5q2/3Q4/2p2P2/6P1/P5PK/4R3 w - - 2 30	e8f8 g8f8 e1e6 f6e6 d5e6	2650	0g0p101g
vKTKA	1k1r2nr/p1pb2q1/1p3pnp/8/2PB4/Q1P2B2/P6P/2KR1R2 w - - 2 24	d4b6 c7b6 a3d6 b8c8 d6d5	2650	0g10191k1n
veNQt	5r1k/p4Ppp/8/2R5/2QP4/1r2q2P/8/K1R5 w - - 0 32	c5c8 b3b8 c8f8 b8f8 c4c5 e3c1 c5c1	2650	0g0p1w
wPpXs	r3rbk1/pp3pBb/1q6/3B1P1Q/3n4/2N3R1/PP4PP/R5K1 b - - 0 22	d4e2 g1h1 e2g3 h2g3 g8g7	2650	010k0m0s1019
wjocz	r1b4r/1pqp2k1/p1n3pp/3Q3B/8/6b1/PP3PPP/2R2RK1 w - - 0 18	f2g3 d7d6 c1c6 b7c6 d5d4 g7g8 f1f8 g8f8 d4h8 f8f7 h8h7	2650	01050i191w
xOVP0	8/ppp5/8/3P4/P1P5/1P1k1p2/4R3/5K2 b - - 0 43	f3e2 f1e1 b7b6 a4a5 d3e3 a5b6 a7b6 b3b4 e3d4	2650	000g0p1l1w
xOWAn	3r4/1p4k1/4Bp2/p3n3/4bQ2/8/PP3PK1/3q3R w - - 5 39	f4e4 d1d3 e4b7 d8d7 e6d7	2650	0g0t1019
xYAGA	r1b2rk1/p4p2/4pp2/4n2Q/8/1R2N2P/q4PP1/4R1K1 w - - 0 25	e3g4 a2b3 g4f6 g8g7 h5e5	2650	0g10191n
yPQjT	2kr2r1/3b1p2/p1pp1q2/3Pp2p/P1P2npn/8/1B1QBPPP/R3RNK1 w - - 0 23	d2a5 h4f3 g1h1	2650	0g0h191o
z6g8e	8/2R3bk/1p1p2n1/1P1P1Q2/5q2/6NP/5PK1/r7 w - - 4 50	f5h5 f4h6 c7g7 h7g7 g3f5 g7f6 h5h6	2650	050g0i0r0s1112191g1n1w
z970P	3rr1k1/6pp/q1p5/p7/1p1Q4/4n1P1/PP4BP/2RR2K1 w - - 2 27	d4d8 e8d8 d1d8 g8f7 d8d7 f7e8 g2c6	2650	01191w
zOBKC	r2q2k1/2pp2P1/pp2p2Q/7P/PP1Pb1P1/N1P5/8/6K1 w - - 1 27	g4g5 g8f7 a3c4	2650	0g0p111l1o
0hn84	8/8/4p3/2p2p2/P3nP2/1KN2k2/2P5/8 b - - 2 46	e4d2 b3a2 d2c4 a4a5 c4a5	2651	010p0z101l
2ec9v	8/8/3KP3/5k2/3p2p1/6P1/1p2r3/1R6 w - - 1 49	e6e7 d4d3 b1f1 f5g5 d6d7	2651	00010h0p101m
6Qa3d	2rqrb1k/5p1p/p2p1Pb1/npn5/4PP1P/PP6/1BB3QN/R3K1R1 w Q - 3 30	h4h5 c5e4 h5g6	2651	01191o
6w3fp	8/6p1/4pk1p/5P2/4K1P1/7P/8/8 b - - 0 39	e6f5 g4f5 f6g5 e4e5 h6h5 e5e6 g5f4 h3h4 f4g4	2651	0g0p1e1l1w
6yWf9	r6r/Rpkb1p2/4pq1p/3p2p1/8/2NQ2P1/1PP2PP1/5RK1 w - - 1 20	d3a6 a8a7 c3d5 e6d5 a6f6	2651	0110191g1n
7NtHR	8/2p5/pp2p1k1/4P1pp/1P2K1P1/7P/P1P5/8 w - - 0 36	a2a4 h5g4 h3g4 g6f7 a4a5 f7e7 b4b5	2651	0g0p1e1l1w
