0TL5l	6k1/1R5p/p1pn2pB/4b3/PP6/6PK/5r1P/8 w - - 1 45	b7b8 g8f7 b8f8 f7e6 f8f2	1100	010p101p
3v5Td	8/6R1/7p/3ppkp1/1p6/1PbKPP2/P7/8 b - - 1 48	e5e4 f3e4 d5e4 d3c2 c3g7	1100	0p
9TWWf	8/6R1/8/p2p4/1p2k1P1/4r2P/P1K5/8 w - - 0 45	g7e7 e4f4 e7e3 f4e3 g4g5 d5d4 g5g6	1100	0g0p111l1m1w
CTKyQ	8/8/2k5/p1p2p1p/P4P1P/1PK5/8/8 w - - 7 41	c3c4 c6d6 c4b5 d6d5 b5a5	1100	0g0p101e1z
ElHkI	r4rk1/5ppp/pp6/2b1B3/6Q1/1P1q4/P2P1PKP/R4R2 b - - 1 18	d3d5 g4f3 d5e5	1100	0g0s191o
HsuL9	8/pp5k/3p3p/5q2/2PprN2/3Q2P1/PP3K2/4R3 b - - 1 35	e4f4 g3f4 f5d3	1100	0g0j0p1o
JAa7X	8/2Qb1qpk/7p/2P1N3/3P1p2/P7/1p3PPP/1R4K1 b - - 1 37	f7a2 b1e1 b2b1q	1100	000g0p1h1o
NB9ym	4r1k1/p3R2p/1p3Q2/2p2p2/2P5/8/PP1q2PP/K3R3 b - - 0 35	d2e1 e7e1 e8e1	1100	060p13151o1y
NQHtJ	2kr3r/ppp2ppp/2n5/1N1q4/5Q2/8/PPP2P2/2K1R3 w - - 0 19	f4c7	1100	1314191b1k
ObMVP	3bk3/p1Bn1p1p/2p3p1/2Pp4/1N1Pp3/4P3/5PPP/6K1 w - - 13 35	c7d8 e8d8 b4c6 d8c7 c6a7	1100	01050p10
SPhB3	r2qk2r/1b2npb1/pp4pp/2p1NP2/8/2NP4/PPP3PP/R1B1QRK1 b kq - 0 15	d8d4 c1e3 d4e5	1100	010v1c1o
SULRB	8/7p/4R1p1/1p1k4/1P1r1P2/2p1K1P1/8/8 w - - 0 38	e6e5 d5d6 e3d4	1100	0g0i0p1m1o
V4x7I	2r4r/8/R4p2/1P1k1p2/P2P4/B1n1P3/5PPP/5RK1 b - - 4 32	c3e2 g1h1 h8h2 h1h2 c8h8	1100	02050p1013161n
hjnjW	8/8/3k3p/6p1/2R1P1r1/3P4/4K3/8 w - - 2 59	e4e5 d6d5 c4g4	1100	0g0j0p1m1o
nasq6	7k/6pp/2p1Np2/p3qP2/2P4Q/1P6/1r1r1BP1/5RK1 b - - 7 34	d2f2 h4f2 b2f2	1100	01191o
oHmj0	rn3k1r/ppp2ppp/5n2/1B6/1b1q2b1/P1N5/1PPPQPPP/R1B1R1K1 w - - 1 12	e2e8 f6e8 e1e8	1100	13151c1d1n1o
oL3Oa	r4b1r/pp4pp/2pk1q2/3np3/8/PbNP4/1P2QPPP/R1B2RK1 w - - 1 16	c3e4 d6c7 e4f6	1100	010s191o
ssUv0	7Q/p4q2/8/1B2n1K1/P2k4/8/8/8 b - - 4 55	f7g6 g5f4 g6g4	1100	0p13151o
ssac0	4k2r/3n1ppp/3bpn2/B2p4/3P4/4PN2/P1r2PPP/RN2K2R b KQk - 3 12	c2c1 e1e2 c1h1	1100	0g191o1p
165Xh	8/p1ppk2p/1p2pN2/8/1P3P2/6Q1/P4K2/3q4 w - - 2 35	g3g7 e7d6 g7d7	1101	0p13151o
37DX1	1rq1r3/p1nn1p1k/2p1pB2/2PpP1Qp/P2P4/8/4NP1P/1R3RK1 b - - 1 25	e8g8 e2g3 g8g5	1101	0g191g1o
