30LbQ	8/p7/1p3p2/5k1p/1PP2P1P/5K2/8/8 b - - 2 39	f5e6 b4b5 e6f5 f3e3 f5g4	2744	0g0p101e1z
3Jnpi	r4b1R/5kp1/5R2/2qp4/r3Pp2/2B2P2/1P1K1P1Q/8 b - - 3 41	g7f6 h2h5 f7e6 h5f5 e6d6 f5f6 d6d7 h8h7 f8e7	2744	01191w
3b7lS	1kr5/1p5p/R5p1/1Q2Pp2/2n2P2/2P2qP1/2P4P/1KR5 b - - 2 36	c8c6 a6c6 c4a3 b1b2 a3b5	2744	010p0s101n
6FKHq	5r2/1p3q2/4p1pk/3pP3/3P1PR1/r1P5/p5QK/R7 w - - 0 41	a1g1 f8g8 g2h3 h6g7 g4g6 f7g6 g1g6 g7g6 h3e6	2744	050g0p1l1w
7P08B	8/5pkp/3Np3/2pn1p2/p7/2n3PP/1p1N1P2/4RK2 b - - 1 36	d5b6 d6c4 b6c4	2744	0g0p111l1o
7hBsf	1r2r1k1/p4p1p/2p2Qp1/5b2/3B1P2/2P1K3/2q3PP/3RR3 w - - 2 25	e3f3 e8e3 e1e3 c2d1 e3e2	2744	010h1019
9Hecz	5r2/6kp/p3Q1p1/5p2/2P5/8/2q3PP/3R3K w - - 3 33	d1d7 g7h6 e6e3 f5f4 e3e1	2744	0g0h0p10
9pKEl	8/1p1Q2P1/p1r2q2/5N2/kP1P4/P2bP3/6PP/6K1 w - - 3 39	g7g8q d3f5 d7d8 c6c1 g1f2 c1f1 f2g3	2744	000g0h0p1h1w
9yjH0	Q7/5r1k/3pQ1pp/1NpP4/2P2rPq/5p1n/R4P2/4RK2 b - - 2 36	h4g4 a8g8 h7g8 e6g4 f4g4	2744	0g1019
BLyKZ	1r3r1k/pb4q1/2p1p2p/2P1PpR1/1P6/P3P1R1/6PP/1B1Q2K1 b - - 0 31	h6g5 d1h5 g7h7 h5g5 f8f7	2744	010h1019
CbEaU	3r2k1/p1R1r1b1/4N1Qp/3p4/5P2/q2n4/6PP/2R3K1 w - - 1 31	c7c8 a3c1 c8c1 d3c1 e6d8	2744	0g10111219
